10721,12173
12671,13467
14771,12339
15454,11823
12223,14761
13453,10800
11292,13264
13244,14691
12173,12266
12545,15167
14698,14107
14683,14712
13579,13770
15124,13415
10561,14107
11109,13204
10670,13418
15370,15825
11336,10304
11259,15295
15045,13587
12197,12244
12478,14570
10140,11423
10397,15027
13158,11259
14275,10747
15167,15447
11618,13502
12054,10800
10540,13930
14100,11233
10540,12494
15167,11618
13796,14831
15919,12478
13139,13461
12441,14747
14685,12451
12094,14730
10140,16218
13770,10241
14679,14100
13381,13415
12953,11921
14307,11697
13232,13341
11550,10405
12197,13303
12191,11871
11973,10208
12197,10849
15447,12264
10466,16101
11057,12244
15167,13541
14275,12197
14683,11109
12523,10204
10299,12087
10171,10529
15862,15282
11292,14237
15412,10747
12598,11267
12191,14869
14100,13947
14107,12896
13232,11986
13369,14718
13930,14108
11537,11433
10994,12478
14893,13194
10785,11764
12191,10599
13788,13303
11603,12888
12134,13796
11066,15370
11555,14709
14816,10551
11996,16091
14986,15167
10158,12953
11111,11953
12217,13204
13398,10821
11995,15370
12448,14193
14730,12266
13034,12492
16353,12323
14512,12945
14570,14100
14543,11122
11618,11298
14689,11233
11973,14783
11641,10868
11630,13942
12451,11986
14730,11995
16091,13464
10683,12878
12278,10194
10821,10431
14698,10561
15628,11697
15569,11298
13543,13244
13495,12896
12953,11193
13072,15618
10372,14107
12953,13204
10815,12953
12889,12264
15096,12892
14783,13029
11637,10136
11487,15278
10721,12391
11057,10581
12388,14050
14004,14771
10666,14679
11282,13461
14685,14512
11140,10423
12264,12478
11871,10747
13467,15406
14679,10136
13061,11433
14696,11057
14492,11973
14943,14107
11067,13029
14635,13303
13244,15153
11066,10590
11282,11871
11375,11982
14814,10397
15721,14856
13061,15043
13461,11904
15167,13936
15882,12197
13198,10185
11540,15016
14893,12173
13796,13891
12197,13685
14893,11603
11298,11413
10744,13930
15323,10423
11641,10397
12951,10781
11193,15024
10349,12370
10299,14282
13398,12244
11844,11280
12878,10980
14122,14050
11042,13891
12945,10599
10821,11433
11411,10640
13871,11603
12266,13891
13495,11233
11995,14122
14712,12574
10146,11150
14027,11193
14761,11027
11423,10466
10157,14262
12235,12214
10304,11336
14489,10157
10241,14268
12266,10785
15412,11973
13198,13485
14234,10304
13891,10140
11278,10154
10631,12574
14747,10821
10154,15167
12851,12779
11550,11550
11867,13851
14307,16091
11267,12278
16584,11630
11278,13296
11637,15370
13341,10155
14831,10423
12720,12653
13964,13024
11057,11721
10154,15855
10821,14112
12197,10990
10136,12478
12448,13232
15096,14635
14098,14100
11066,10792
13296,12197
15070,14730
11298,13486
14965,14689
13930,13342
13342,11233
10868,14524
15624,10980
12335,13487
14869,15897
14530,10325
10325,15618
15741,12253
13931,11066
12266,10874
14986,14730
11423,14683
14570,11292
12769,15554
12892,11057
13806,14804
15887,12831
15370,11433
10279,11259
14633,10257
13487,16101
11924,11924
10299,14046
15124,11643
10304,10926
11995,11003
10529,10792
15481,10693
11638,10157
10821,10693
14730,13230
12896,15016
11057,11503
11252,12953
11097,11292
10535,10815
13342,10466
13507,10540
10171,11423
12992,12889
14771,15041
11697,14112
14027,15167
13485,12266
13931,11067
10666,10466
14524,12451
10010,10154
11193,15167
12003,12278
11675,10540
11775,14004
13767,10783
14952,11278
13898,11057
13487,15153
13487,11057
13303,15570
10257,14027
14081,13871
11123,14122
13587,11673
11624,14635
13931,11721
13788,15249
11612,11986
14893,10135
10590,13303
14288,13029
12633,14229
10849,15897
12892,15045
13930,10185
11278,14131
11298,10627
15016,14814
13003,11392
14771,13342
14218,11859
13198,12478
13204,12391
12878,14570
13303,13061
11433,13230
15380,13930
11042,10135
10247,15581
14268,10241
13796,15023
11898,14869
12339,14193
10397,13198
14512,15295
12574,13930
11267,14082
15167,16543
15498,15618
12945,13061
15376,13487
15167,11995
14696,14711
14321,10581
10184,14709
11884,13796
12222,15779
10397,14492
10185,10397
13495,12197
10980,11823
13851,13342
12478,10154
15167,11510
14689,10693
14679,10540
10747,13930
12889,10140
10423,10194
11823,14512
15709,15278
14524,13871
12896,13232
15862,15887
12339,12448
13710,15554
15016,14457
10800,14122
12892,14262
12127,11695
14771,11423
11413,14674
12822,14856
12807,15085
11535,10640
15412,16876
10781,10590
12953,11292
14996,13303
13341,12197
15412,14574
11697,12339
10627,14814
12451,13931
12898,13577
13232,12884
10540,11764
12951,12915
13930,16218
13198,13029
14747,13244
10599,11193
14635,11259
10590,11146
10185,11193
10620,11823
14804,11844
11193,16091
13204,14050
12007,12945
12191,14843
10994,14492
10849,12891
16091,13061
13029,11638
14689,10558
13303,10819
11292,13360
